version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 149519528842 eni-0b86aa3a110035a1e 83.222.191.186 10.0.1.208 51685 22222 6 1 40 1750962159 1750962178 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 162.142.125.131 10.0.1.208 52384 38311 6 1 60 1750962159 1750962178 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 65.49.20.84 10.0.1.208 44234 5802 6 1 40 1750962159 1750962178 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.132.224 10.0.1.208 56052 2622 6 1 44 1750962159 1750962178 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 172.202.105.96 10.0.1.208 53571 10000 6 1 40 1750962159 1750962178 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.91 10.0.1.200 47606 19071 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.91 10.0.1.200 47606 46793 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 2443 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.159.49 10.0.1.200 51383 8765 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.236.42.18 10.0.1.200 54607 6001 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.131.1 10.0.1.200 27075 10232 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.212 10.0.1.200 32176 13861 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.179.39 10.0.1.200 45367 8686 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.130.168 10.0.1.200 37329 33451 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.159.49 10.0.1.200 51383 1337 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.131.1 10.0.1.200 27075 8020 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 103.102.230.4 10.0.1.200 47451 8728 6 1 40 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 206.168.35.88 10.0.1.200 53486 17 17 1 30 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.50.165 10.0.1.200 23164 20011 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.50.165 10.0.1.200 23164 13379 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.179.95 10.0.1.200 47650 119 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 20006 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 154.197.57.94 10.0.1.200 54818 137 17 1 78 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.63 10.0.1.200 29268 32003 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.179.39 10.0.1.200 45367 9012 6 1 44 1750962158 1750962188 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.133.83 10.0.1.208 52607 9867 6 1 44 1750962185 1750962213 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 35.203.211.36 10.0.1.208 52642 9058 6 1 44 1750962185 1750962213 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.132.91 10.0.1.208 52663 161 17 1 68 1750962185 1750962213 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 89.248.165.49 10.0.1.208 44842 26329 6 1 40 1750962185 1750962213 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.133.62 10.0.1.208 49679 51163 6 1 44 1750962185 1750962213 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 46.1.106.126 10.0.1.208 30908 80 6 1 40 1750962185 1750962213 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.91 10.0.1.200 47606 5601 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 162.216.149.103 10.0.1.200 49325 39899 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.176.254 10.0.1.200 28462 9002 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.211.226 10.0.1.200 51086 2521 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 162.216.149.69 10.0.1.200 52291 8103 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.159.49 10.0.1.200 51383 30312 17 1 50 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.63 10.0.1.200 29268 5111 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.215.9 10.0.1.200 24605 42609 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 34.230.56.167 10.0.1.200 0 0 1 1 40 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.212 10.0.1.200 32176 32770 17 1 68 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.222.130.168 10.0.1.200 37329 9898 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.94.204 10.0.1.200 55069 113 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.94.204 10.0.1.200 55069 34863 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 185.242.226.47 10.0.1.200 35348 3365 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.8.232 10.0.1.200 29926 9029 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.176.30 10.0.1.200 43329 7890 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.92.167 10.0.1.200 49281 5225 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.91 10.0.1.200 47606 7001 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.178.212 10.0.1.200 32176 17777 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.210.76 10.0.1.200 51797 8157 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.179.39 10.0.1.200 45367 5631 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 8.219.87.105 10.0.1.200 39317 61762 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 47.237.176.254 10.0.1.200 28462 11965 6 1 44 1750962190 1750962217 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 89.248.163.115 10.0.1.200 44820 26109 6 1 40 1750962190 1750962217 REJECT OK
