version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 149519528842 eni-0b86aa3a110035a1e 128.14.239.38 10.0.1.208 35903 12905 6 1 44 1750965793 1750965797 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 198.235.24.170 10.0.1.208 14891 1604 17 1 58 1750965793 1750965797 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 18.217.194.148 10.0.1.208 51946 8085 6 1 40 1750965793 1750965797 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 147.185.133.175 10.0.1.200 57044 45714 6 1 44 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 52.128.247.26 10.0.1.200 46617 8477 6 1 40 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 89.248.163.115 10.0.1.200 44820 26472 6 1 40 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 167.94.146.16 10.0.1.200 50987 8000 6 1 60 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 198.235.24.249 10.0.1.200 50186 2080 6 1 44 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 162.216.149.151 10.0.1.200 49360 4965 6 1 44 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 147.185.133.20 10.0.1.200 54777 27462 6 1 44 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.211.34 10.0.1.200 49609 10050 6 1 44 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 147.185.133.203 10.0.1.200 53295 8806 6 1 44 1750965791 1750965817 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.211.194 10.0.1.200 49327 5540 6 1 44 1750965791 1750965817 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 207.167.67.206 10.0.1.208 48085 8080 6 1 40 1750965813 1750965841 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 35.203.210.40 10.0.1.208 53931 22085 6 1 44 1750965813 1750965841 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 5.101.64.6 10.0.1.208 60021 2087 6 1 40 1750965813 1750965841 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 46.1.14.201 10.0.1.208 33105 8080 6 1 40 1750965813 1750965841 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 148.113.214.206 10.0.1.208 48171 8446 6 1 52 1750965813 1750965841 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 162.216.150.78 10.0.1.208 55099 12082 6 1 44 1750965813 1750965841 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 103.203.57.10 10.0.1.208 46861 1194 17 1 28 1750965813 1750965841 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 86.54.31.32 10.0.1.200 5855 987 17 1 87 1750965824 1750965841 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 52.81.51.226 10.0.1.200 0 0 1 1 40 1750965824 1750965841 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 83.222.190.242 10.0.1.200 40884 8426 6 1 44 1750965824 1750965841 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 68.183.86.147 10.0.1.200 58364 5038 6 1 40 1750965824 1750965841 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.211.192 10.0.1.200 53314 9641 6 1 44 1750965824 1750965841 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 147.185.133.154 10.0.1.200 57251 49979 6 1 44 1750965824 1750965841 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 167.94.146.41 10.0.1.200 15925 37225 6 1 60 1750965824 1750965841 REJECT OK
2 149519528842 eni-02269882c990fd3f5 - - - - - - - 1750965820 1750965851 - NODATA
2 149519528842 eni-0a383603ba13d18b8 128.9.29.131 10.0.1.200 0 0 1 1 32 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 198.235.24.34 10.0.1.200 51182 5986 6 1 44 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 206.168.34.135 10.0.1.200 35459 11495 6 1 60 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 83.222.191.6 10.0.1.200 44994 3393 6 1 40 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 45.43.63.38 10.0.1.200 55069 12907 6 1 44 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 118.193.69.177 10.0.1.200 57295 1194 17 1 42 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 198.235.24.12 10.0.1.200 50067 32400 6 1 44 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 35.203.210.181 10.0.1.200 55836 46229 6 1 44 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 20.106.56.201 10.0.1.200 33373 8081 6 1 40 1750965851 1750965877 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 5.188.206.114 10.0.1.200 59261 30177 6 1 40 1750965851 1750965877 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.132.104 10.0.1.208 52012 3000 6 1 44 1750965848 1750965865 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 206.168.34.128 10.0.1.208 25647 22912 6 1 60 1750965848 1750965865 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 20.64.105.74 10.0.1.208 50855 119 6 1 40 1750965848 1750965865 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 162.216.149.100 10.0.1.208 50593 48537 6 1 44 1750965848 1750965865 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 148.113.214.202 10.0.1.208 50218 636 6 1 52 1750965848 1750965865 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 205.210.31.130 10.0.1.208 54781 3975 6 1 44 1750965848 1750965865 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 198.235.24.86 10.0.1.208 54778 44818 17 1 52 1750965848 1750965865 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.132.236 10.0.1.208 52497 5000 6 1 44 1750965877 1750965896 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 162.216.149.177 10.0.1.208 50499 8109 6 1 44 1750965877 1750965896 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 46.1.106.126 10.0.1.208 30908 80 6 1 40 1750965877 1750965896 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 91.196.152.158 10.0.1.208 45557 55443 6 1 60 1750965877 1750965896 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.133.110 10.0.1.208 51451 2000 6 1 44 1750965877 1750965896 REJECT OK
2 149519528842 eni-0b86aa3a110035a1e 147.185.133.80 10.0.1.208 53538 8638 6 1 44 1750965877 1750965896 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 199.45.154.187 10.0.1.200 52708 2086 6 1 60 1750965883 1750965895 REJECT OK
2 149519528842 eni-0a383603ba13d18b8 148.113.206.49 10.0.1.200 56844 7443 6 1 52 1750965883 1750965895 REJECT OK
